"(1, 1)","(2, 2)"
Albert Torres,{{ESP}}
Benjamin Thomas,{{FRA}}
Simone Consonni,{{ITA}}
Maximilian Beyer,{{GER}}
Szymon Sajnok,{{POL}}
Aaron Gate,{{NZL}}
Roy Eefting,{{NED}}
Sultanmurat Miraliyev,{{KAZ}}
Ivo Oliveira,{{POR}}
Sam Welsford,{{AUS}}
Casper Pedersen,{{DEN}}
Lindsay De Vylder,{{BEL}}
Shunsuke Imamura,{{JPN}}
Park Sang-hoon,{{KOR}}
Raman Tsishkou,{{BLR}}
Roman Gladysh,{{UKR}}
GaÃ«l Suter,{{SUI}}
Leung Chun Wing,{{HKG}}
Viktor Manakov,{{RUS}}
Christopher Latham,{{GBR2}}
Edibaldo Maldonado,{{MEX}}
